Libellé du département,% Voix/Exp.4
AIN,1.044
AISNE,1.294
ALLIER,1.2533333333333332
ALPES DE HAUTE PROVENCE,1.385
ALPES MARITIMES,0.6944444444444444
ARDECHE,1.3666666666666665
ARDENNES,1.29
ARIEGE,1.455
AUBE,1.0066666666666666
AUDE,1.2566666666666666
AVEYRON,1.3333333333333333
BAS RHIN,1.0111111111111113
BOUCHES DU RHONE,0.7862500000000001
CALVADOS,1.3466666666666667
CANTAL,1.24
CHARENTE,1.4666666666666668
CHARENTE MARITIME,1.432
CHER,1.22
CORREZE,1.0150000000000001
CORSE SUD,1.1800000000000002
COTE D'OR,1.06
COTES D'ARMOR,1.3380000000000003
CREUSE,1.49
DEUX SEVRES,1.5966666666666667
DORDOGNE,1.365
DOUBS,1.1860000000000002
DROME,1.0925
ESSONNE,0.9269999999999999
EURE,1.3699999999999999
EURE ET LOIR,1.2275
FINISTERE,1.4775000000000003
FRANCAIS DE L'ETRANGER,0.7109090909090908
GARD,1.0033333333333332
GERS,1.23
GIRONDE,1.6449999999999998
GUADELOUPE,0.7925
GUYANE,1.26
HAUT RHIN,1.1783333333333335
HAUTE CORSE,1.1600000000000001
HAUTE GARONNE,1.101
HAUTE LOIRE,1.335
HAUTE MARNE,1.325
HAUTE SAONE,1.365
HAUTE SAVOIE,1.1249999999999998
HAUTE VIENNE,1.2133333333333332
HAUTES ALPES,1.34
HAUTES PYRENEES,1.3599999999999999
HAUTS DE SEINE,0.6900000000000002
HERAULT,1.017777777777778
ILLE ET VILAINE,1.2174999999999998
INDRE,1.42
INDRE ET LOIRE,1.276
ISERE,1.02
JURA,1.3166666666666667
LA REUNION,0.8642857142857144
LANDES,1.4766666666666666
LOIR ET CHER,1.3133333333333332
LOIRE,1.0633333333333332
LOIRE ATLANTIQUE,1.2269999999999999
LOIRET,1.0116666666666667
LOT,1.4449999999999998
LOT ET GARONNE,1.3766666666666667
LOZERE,1.29
MAINE ET LOIRE,1.3928571428571428
MANCHE,1.3525
MARNE,1.19
MARTINIQUE,1.175
MAYENNE,1.3133333333333332
MAYOTTE,0.835
MEURTHE ET MOSELLE,1.2666666666666666
MEUSE,1.5
MORBIHAN,1.37
MOSELLE,1.3788888888888886
NIEVRE,1.28
NORD,1.0980952380952385
NOUVELLE CALEDONIE,0.97
OISE,1.2242857142857144
ORNE,1.4466666666666665
PARIS,0.6777777777777776
PAS DE CALAIS,1.2874999999999999
POLYNESIE FRANCAISE,0.5933333333333333
PUY DE DOME,1.24
PYRENEES ATLANTIQUES,1.705
PYRENEES ORIENTALES,1.23
RHONE,0.84
SAINT PIERRE ET MIQUELON,3.91
SAINT-MARTIN/SAINT-BARTHELEMY,1.06
SAONE ET LOIRE,1.218
SARTHE,1.336
SAVOIE,1.1975
SEINE ET MARNE,1.0181818181818179
SEINE MARITIME,1.2799999999999998
SEINE SAINT-DENIS,0.9275000000000002
SOMME,1.276
TARN,1.2533333333333332
TARN ET GARONNE,1.21
TERRITOIRE DE BELFORT,1.32
VAL D'OISE,0.959
VAL DE MARNE,0.8627272727272728
VAR,0.86875
VAUCLUSE,0.952
VENDEE,1.454
VIENNE,1.35
VOSGES,1.5675
WALLIS-ET-FUTUNA,0.66
YONNE,1.2766666666666666
YVELINES,0.795
